territorio,escenario,indicador,valor
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Potencial,1414661
CONSULADOS,Mayo 2026 - Primera vuelta,Sufragantes,589829
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Sufragantes,427751
CONSULADOS,Mayo 2026 - Primera vuelta,Votos válidos,588573
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Votos válidos,427751
CONSULADOS,Mayo 2026 - Primera vuelta,Votos por candidatos,584044
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,419696
CONSULADOS,Mayo 2026 - Primera vuelta,Voto en blanco,4529
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,8055
CONSULADOS,Mayo 2026 - Primera vuelta,Votos nulos,1011
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Votos nulos,0
CONSULADOS,Mayo 2026 - Primera vuelta,Votos no marcados,245
CONSULADOS,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,0
CORDOBA,Mayo 2026 - Primera vuelta,Potencial,1394973
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Potencial,1394973
CORDOBA,Mayo 2026 - Primera vuelta,Sufragantes,711571
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,792423
CORDOBA,Mayo 2026 - Primera vuelta,Votos válidos,705432
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,786218
CORDOBA,Mayo 2026 - Primera vuelta,Votos por candidatos,695827
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,771742
CORDOBA,Mayo 2026 - Primera vuelta,Voto en blanco,9605
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,14476
CORDOBA,Mayo 2026 - Primera vuelta,Votos nulos,4168
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4638
CORDOBA,Mayo 2026 - Primera vuelta,Votos no marcados,1971
CORDOBA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1567
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Potencial,2335305
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Potencial,2335305
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Sufragantes,1625534
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,1533745
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Votos válidos,1601011
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,1532147
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Votos por candidatos,1571134
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,1463905
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Voto en blanco,29877
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,68242
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Votos nulos,22430
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,1387
CUNDINAMARCA,Mayo 2026 - Primera vuelta,Votos no marcados,2093
CUNDINAMARCA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,211
GUAINIA,Mayo 2026 - Primera vuelta,Potencial,36900
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Potencial,36900
GUAINIA,Mayo 2026 - Primera vuelta,Sufragantes,12134
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,15351
GUAINIA,Mayo 2026 - Primera vuelta,Votos válidos,12009
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,14877
GUAINIA,Mayo 2026 - Primera vuelta,Votos por candidatos,11762
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,14458
GUAINIA,Mayo 2026 - Primera vuelta,Voto en blanco,247
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,419
GUAINIA,Mayo 2026 - Primera vuelta,Votos nulos,82
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,280
GUAINIA,Mayo 2026 - Primera vuelta,Votos no marcados,43
GUAINIA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,194
GUAVIARE,Mayo 2026 - Primera vuelta,Potencial,69304
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Potencial,69304
GUAVIARE,Mayo 2026 - Primera vuelta,Sufragantes,34951
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Sufragantes,38223
GUAVIARE,Mayo 2026 - Primera vuelta,Votos válidos,34074
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Votos válidos,36833
GUAVIARE,Mayo 2026 - Primera vuelta,Votos por candidatos,32961
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,35099
GUAVIARE,Mayo 2026 - Primera vuelta,Voto en blanco,1113
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,1734
GUAVIARE,Mayo 2026 - Primera vuelta,Votos nulos,725
GUAVIARE,Junio 2026 - Segunda vuelta proyectada,Votos nulos,1043
GUAVIARE,Mayo 2026 - Primera vuelta,Votos no marcados,152
