departamento,municipio,departamento_nombre,municipio_nombre,total_votos_mmv,votos_validos,ABELARDO DE LA ESPRIELLA,CARLOS CAICEDO,CLAUDIA LOPEZ,GUSTAVO MATAMORROS,IVAN CEPEDA,LUIS GILBERTO MURILLO,MAURICIO LIZCANO,MIGUEL URIBE,NO MARCADOS,PALOMA VALENCIA,ROY BARRERAS,SANTIAGO BOTERO,SERGIO FAJARDO,SONDRA MACOLLINS,VOTO EN BLANCO,VOTO NULO,votos_abelardo,votos_cepeda,margen_abelardo_vs_cepeda,ganador_2v_base,margen_abs,margen_pp_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,score_disputa,score_oportunidad,potencial
19,85,HUILA,TERUEL,3864,3830,2567,3,15,1,648,2,4,10,8,420,3,43,53,6,55,26,2567,648,1919,ABELARDO DE LA ESPRIELLA,1919,0.5010443864229766,55,26,8,2936.0,3025.0,0.1614513604669876,1.294032152731214,6800.0
19,88,HUILA,TIMANA,10041,9931,6361,6,63,2,1979,9,17,21,23,939,7,108,231,18,170,87,6361,1979,4382,ABELARDO DE LA ESPRIELLA,4382,0.4412445876548182,170,87,23,7246.0,7526.0,0.2039585049531571,1.8205849791090183,17287.0
19,91,HUILA,VILLAVIEJA,3993,3937,1951,3,21,0,1608,2,2,8,13,182,1,49,47,4,59,43,1951,1608,343,ABELARDO DE LA ESPRIELLA,343,0.0871221742443484,59,43,13,2837.0,2952.0,0.8523726248520221,6.810948990773954,6830.0
19,94,HUILA,YAGUARA,4830,4764,2862,3,20,2,1427,0,10,2,8,192,2,39,119,8,78,58,2862,1427,1435,ABELARDO DE LA ESPRIELLA,1435,0.301217464315701,78,58,8,2301.0,2445.0,0.27212652846169455,2.12318813556182,7131.0
21,1,MAGDALENA,SANTA MARTA,217221,215262,79356,933,654,43,112812,88,320,142,251,10064,73,1004,5749,126,3898,1708,79356,112812,-33456,IVAN CEPEDA,33456,0.1554199069041447,3898,1708,251,191642.0,197499.0,0.7423299919079006,9.051596200889831,408863.0
21,8,MAGDALENA,ALGARROBO,4953,4913,978,29,12,0,3585,3,9,1,16,169,3,26,33,2,63,24,978,3585,-2607,IVAN CEPEDA,2607,0.5306330144514553,63,24,16,6203.0,6306.0,0.15722020901193678,1.375584918967919,11156.0
21,10,MAGDALENA,ARACATACA,12494,12389,3955,78,29,2,7645,7,20,11,39,249,6,66,105,9,207,66,3955,7645,-3690,IVAN CEPEDA,3690,0.2978448623779159,207,66,39,18104.0,18416.0,0.30614917208049175,3.0067000290019137,30598.0
21,12,MAGDALENA,ARIGUANI (EL DIFICIL),11450,11296,5232,37,24,4,5064,4,19,16,33,577,8,66,91,11,143,121,5232,5064,168,ABELARDO DE LA ESPRIELLA,168,0.0148725212464589,143,121,33,13183.0,13480.0,3.7520492555838376,35.678373567620646,24633.0
21,13,MAGDALENA,CERRO DE SAN ANTONIO,3299,3270,1769,1,3,2,1312,0,8,4,12,114,2,12,23,0,20,17,1769,1312,457,ABELARDO DE LA ESPRIELLA,457,0.1397553516819571,20,17,12,5876.0,5925.0,0.5404047959985814,4.694553058425302,9175.0
21,15,MAGDALENA,CHIVOLO,6929,6882,3685,37,14,0,2873,3,20,5,13,92,2,38,37,2,74,34,3685,2873,812,ABELARDO DE LA ESPRIELLA,812,0.1179889566986341,74,34,13,8943.0,9064.0,0.690435339918094,6.2913684190075045,15872.0
